"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年3月19日","21,709.13","22,221.38","22,380.34","21,139.26","5.63B","-2.61%"
"2020年3月18日","22,291.82","23,023.34","23,425.03","22,167.42","4.22B","-4.18%"
"2020年3月17日","23,263.73","23,001.76","23,401.20","22,676.46","3.64B","0.87%"
"2020年3月16日","23,063.57","23,317.81","23,631.53","22,842.25","4.07B","-4.03%"
"2020年3月13日","24,032.91","22,519.32","24,184.48","22,519.32","5.50B","-1.14%"
"2020年3月12日","24,309.07","24,657.67","24,657.67","24,117.94","3.75B","-3.66%"
"2020年3月11日","25,231.61","25,459.96","25,493.23","25,140.38","2.63B","-0.63%"
"2020年3月10日","25,392.51","25,285.68","25,578.61","24,978.97","3.23B","1.41%"
"2020年3月9日","25,040.46","25,134.02","25,321.28","24,948.38","4.68B","-4.23%"
"2020年3月6日","26,146.67","26,397.78","26,408.80","26,084.23","2.65B","-2.32%"
"2020年3月5日","26,767.87","26,348.16","26,805.58","26,315.36","2.52B","2.08%"
"2020年3月4日","26,222.07","26,321.56","26,372.48","26,038.39","1.96B","-0.24%"
"2020年3月3日","26,284.82","26,419.13","26,527.75","26,233.39","2.14B","-0.03%"
"2020年3月2日","26,291.68","26,077.73","26,375.91","26,077.73","2.20B","0.62%"
"2020年2月28日","26,129.93","26,249.06","26,313.55","25,989.41","3.19B","-2.42%"
"2020年2月27日","26,778.62","26,529.17","26,849.57","26,419.97","2.11B","0.31%"
"2020年2月26日","26,696.49","26,479.90","26,776.06","26,479.90","2.04B","-0.73%"
"2020年2月25日","26,893.23","26,722.39","26,914.05","26,667.04","1.92B","0.27%"
"2020年2月24日","26,820.88","27,105.35","27,105.35","26,813.22","2.04B","-1.79%"
"2020年2月21日","27,308.81","27,450.46","27,484.53","27,264.78","1.77B","-1.09%"
"2020年2月20日","27,609.16","27,767.28","27,767.28","27,383.13","1.58B","-0.17%"
"2020年2月19日","27,655.81","27,486.46","27,697.46","27,448.60","1.47B","0.46%"
"2020年2月18日","27,530.20","27,766.50","27,771.30","27,496.25","1.59B","-1.54%"
"2020年2月17日","27,959.60","27,766.71","28,055.58","27,766.71","1.41B","0.52%"
"2020年2月14日","27,815.60","27,698.56","27,960.66","27,695.59","1.45B","0.31%"
"2020年2月13日","27,730.00","27,953.65","27,953.65","27,695.60","1.62B","-0.34%"
