,secID,ticker,endDate,NAV,publishDate,ACCUM_NAV,currencyCd,ADJUST_NAV,navChg,navChgPct,adjNavChgPct,partyID
464,162411.XSHE,162411,2013/9/4,1.057,2013/9/5,1.057,CNY,1.057,0.006,0.5709,0.5709,27287
465,162411.XSHE,162411,2013/9/5,1.062,2013/9/6,1.062,CNY,1.062,0.005,0.473,0.473,27287
466,162411.XSHE,162411,2013/9/6,1.067,2013/9/9,1.067,CNY,1.067,0.005,0.4708,0.4708,27287
467,162411.XSHE,162411,2013/9/9,1.077,2013/9/10,1.077,CNY,1.077,0.01,0.9372,0.9372,27287
468,162411.XSHE,162411,2013/9/10,1.074,2013/9/11,1.074,CNY,1.074,-0.003,-0.2786,-0.2786,27287
469,162411.XSHE,162411,2013/9/11,1.084,2013/9/12,1.084,CNY,1.084,0.01,0.9311,0.9311,27287
470,162411.XSHE,162411,2013/9/12,1.081,2013/9/13,1.081,CNY,1.081,-0.003,-0.2768,-0.2768,27287
471,162411.XSHE,162411,2013/9/13,1.082,2013/9/16,1.082,CNY,1.082,0.001,0.0925,0.0925,27287
472,162411.XSHE,162411,2013/9/16,1.078,2013/9/17,1.078,CNY,1.078,-0.004,-0.3697,-0.3697,27287
473,162411.XSHE,162411,2013/9/17,1.091,2013/9/18,1.091,CNY,1.091,0.013,1.2059,1.2059,27287
474,162411.XSHE,162411,2013/9/18,1.105,2013/9/23,1.105,CNY,1.105,0.014,1.2832,1.2832,27287
475,162411.XSHE,162411,2013/9/23,1.092,2013/9/24,1.092,CNY,1.092,-0.013,-1.1765,-1.1765,27287
476,162411.XSHE,162411,2013/9/24,1.097,2013/9/25,1.097,CNY,1.097,0.005,0.4579,0.4579,27287
477,162411.XSHE,162411,2013/9/25,1.102,2013/9/26,1.102,CNY,1.102,0.005,0.4558,0.4558,27287
478,162411.XSHE,162411,2013/9/26,1.109,2013/9/27,1.109,CNY,1.109,0.007,0.6352,0.6352,27287
479,162411.XSHE,162411,2013/9/27,1.106,2013/9/30,1.106,CNY,1.106,-0.003,-0.2705,-0.2705,27287
480,162411.XSHE,162411,2013/9/30,1.098,2013/10/8,1.098,CNY,1.098,-0.008,-0.7233,-0.7233,27287
481,162411.XSHE,162411,2013/10/8,1.098,2013/10/9,1.098,CNY,1.098,0,0,0,27287
482,162411.XSHE,162411,2013/10/9,1.089,2013/10/10,1.089,CNY,1.089,-0.009,-0.8197,-0.8197,27287
483,162411.XSHE,162411,2013/10/10,1.121,2013/10/11,1.121,CNY,1.121,0.032,2.9385,2.9385,27287
484,162411.XSHE,162411,2013/10/11,1.139,2013/10/14,1.139,CNY,1.139,0.018,1.6057,1.6057,27287
485,162411.XSHE,162411,2013/10/14,1.146,2013/10/15,1.146,CNY,1.146,0.007,0.6146,0.6146,27287
486,162411.XSHE,162411,2013/10/15,1.146,2013/10/16,1.146,CNY,1.146,0,0,0,27287
487,162411.XSHE,162411,2013/10/16,1.176,2013/10/17,1.176,CNY,1.176,0.03,2.6178,2.6178,27287
488,162411.XSHE,162411,2013/10/17,1.183,2013/10/18,1.183,CNY,1.183,0.007,0.5952,0.5952,27287
489,162411.XSHE,162411,2013/10/18,1.201,2013/10/21,1.201,CNY,1.201,0.018,1.5216,1.5216,27287
490,162411.XSHE,162411,2013/10/21,1.193,2013/10/22,1.193,CNY,1.193,-0.008,-0.6661,-0.6661,27287
491,162411.XSHE,162411,2013/10/22,1.184,2013/10/23,1.184,CNY,1.184,-0.009,-0.7544,-0.7544,27287
492,162411.XSHE,162411,2013/10/23,1.153,2013/10/24,1.153,CNY,1.153,-0.031,-2.6182,-2.6182,27287
493,162411.XSHE,162411,2013/10/24,1.181,2013/10/25,1.181,CNY,1.181,0.028,2.4284,2.4284,27287
494,162411.XSHE,162411,2013/10/25,1.18,2013/10/28,1.18,CNY,1.18,-0.001,-0.0847,-0.0847,27287
495,162411.XSHE,162411,2013/10/28,1.175,2013/10/29,1.175,CNY,1.175,-0.005,-0.4237,-0.4237,27287
496,162411.XSHE,162411,2013/10/29,1.187,2013/10/30,1.187,CNY,1.187,0.012,1.0213,1.0213,27287
