65,1,26767.87 ,26348.16 ,26805.58 ,26315.36 ,2.52B,2.08%
66,1,26222.07 ,26321.56 ,26372.48 ,26038.39 ,1.96B,-0.24%
67,1,26284.82 ,26419.13 ,26527.75 ,26233.39 ,2.14B,-0.03%
68,1,26291.68 ,26077.73 ,26375.91 ,26077.73 ,2.20B,0.62%
69,1,26129.93 ,26249.06 ,26313.55 ,25989.41 ,3.19B,-2.42%
70,1,26778.62 ,26529.17 ,26849.57 ,26419.97 ,2.11B,0.31%
71,1,26696.49 ,26479.90 ,26776.06 ,26479.90 ,2.04B,-0.73%
72,1,26893.23 ,26722.39 ,26914.05 ,26667.04 ,1.92B,0.27%
73,1,26820.88 ,27105.35 ,27105.35 ,26813.22 ,2.04B,-1.79%
74,1,27308.81 ,27450.46 ,27484.53 ,27264.78 ,1.77B,-1.09%
75,1,27609.16 ,27767.28 ,27767.28 ,27383.13 ,1.58B,-0.17%
76,1,27655.81 ,27486.46 ,27697.46 ,27448.60 ,1.47B,0.46%
77,1,27530.20 ,27766.50 ,27771.30 ,27496.25 ,1.59B,-1.54%
78,1,27959.60 ,27766.71 ,28055.58 ,27766.71 ,1.41B,0.52%
79,1,27815.60 ,27698.56 ,27960.66 ,27695.59 ,1.45B,0.31%
80,1,27730.00 ,27953.65 ,27953.65 ,27695.60 ,1.62B,-0.34%
81,1,27823.66 ,27717.22 ,27892.48 ,27614.83 ,1.80B,0.87%
82,1,27583.88 ,27514.25 ,27674.81 ,27436.99 ,1.87B,1.26%
83,1,27241.34 ,27092.15 ,27314.64 ,27044.88 ,1.61B,-0.59%
84,1,27404.27 ,27356.28 ,27410.58 ,27224.12 ,1.46B,-0.33%
85,1,27493.70 ,27174.53 ,27608.22 ,27029.49 ,2.25B,2.64%
86,1,26786.74 ,26869.32 ,26926.12 ,26641.92 ,2.50B,0.42%
87,1,26675.98 ,26491.66 ,26730.26 ,26491.66 ,2.50B,1.21%
88,1,26356.98 ,26189.61 ,26512.58 ,26145.59 ,2.42B,0.17%
89,1,26312.63 ,26757.61 ,26818.84 ,26295.49 ,1.87B,-0.52%
90,1,26449.13 ,27030.61 ,27134.55 ,26330.05 ,2.22B,-2.62%
